genre,artist_name,track_name,popularity,danceability,energy,tempo,valence,categoria_popularidade
R&B,Mary J. Blige,Be Without You - Kendu Mix,65,0.724,0.689,146.496,0.693,Muito Popular
R&B,Rihanna,Desperado,63,0.685,0.61,94.384,0.323,Popular
R&B,Yung Bleu,Ice On My Baby (feat. Kevin Gates) - Remix,62,0.762,0.52,75.047,0.0862,Popular
R&B,Surfaces,Heaven Falls / Fall on Me,61,0.563,0.366,85.352,0.768,Popular
R&B,Olivia O'Brien,Love Myself,68,0.653,0.621,100.006,0.466,Muito Popular
R&B,ELHAE,Needs,61,0.51,0.331,124.657,0.225,Popular
R&B,Nao,Make It Out Alive (feat. SiR),64,0.67,0.649,147.935,0.618,Popular
R&B,Frank Ocean,Seigfried,66,0.377,0.255,125.004,0.37,Muito Popular
R&B,Layton Greene,Roll In Peace,60,0.523,0.507,140.368,0.7,Popular
R&B,Usher,You Make Me Wanna...,69,0.761,0.639,164.088,0.922,Muito Popular
R&B,Mariah Carey,Hero,71,0.501,0.378,119.987,0.178,Muito Popular
R&B,Beyoncé,Flawless Remix,69,0.639,0.659,136.801,0.457,Muito Popular
R&B,Jason Derulo,Tip Toe (feat. French Montana),76,0.845,0.709,98.062,0.62,Muito Popular
R&B,TWENTY88,On The Way,61,0.584,0.687,129.902,0.324,Popular
R&B,Big Sean,I Know,66,0.741,0.345,120.015,0.277,Muito Popular
R&B,Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",65,0.751,0.766,109.897,0.673,Muito Popular
R&B,Tierra Whack,CLONES,61,0.791,0.494,146.003,0.6,Popular
R&B,Jessie Reyez,Body Count (feat. Normani & Kehlani) - Remix,62,0.703,0.586,149.736,0.264,Popular
R&B,6LACK,Disconnect,65,0.457,0.337,66.933,0.184,Muito Popular
R&B,SZA,Childs Play (feat. Chance the Rapper),65,0.759,0.342,99.995,0.22,Muito Popular
R&B,Kyle Dion,Brown,63,0.546,0.698,72.417,0.616,Popular
R&B,Roy Woods,Get You Good,68,0.69,0.502,86.185,0.329,Muito Popular
R&B,Tove Lo,Habits (Stay High),67,0.733,0.65,110.003,0.348,Muito Popular
R&B,James Blake,Can't Believe The Way We Flow,65,0.259,0.536,143.948,0.29,Muito Popular
R&B,Joji,SLOW DANCING IN THE DARK - Loud Luxury Remix,65,0.752,0.883,122.026,0.509,Muito Popular
R&B,Jennifer Lopez,Dinero,70,0.721,0.881,127.759,0.643,Muito Popular
R&B,Rihanna,Hate That I Love You,72,0.637,0.73,93.867,0.732,Muito Popular
R&B,Miguel,Remember Me (Dúo),66,0.612,0.548,84.991,0.617,Muito Popular
R&B,TLC,Creep,68,0.811,0.458,92.94,0.797,Muito Popular
R&B,PARTYNEXTDOOR,Wus Good / Curious,67,0.344,0.537,82.878,0.453,Muito Popular
R&B,MIKExANGEL,Complicated,64,0.577,0.516,118.364,0.343,Popular
R&B,Nick Jonas,"Introducing Me - From ""Camp Rock 2: The Final Jam""",68,0.513,0.496,113.072,0.676,Muito Popular
R&B,Tory Lanez,S.w.I.n.G (feat. PnB Rock & Trey Songz),67,0.621,0.777,138.007,0.526,Muito Popular
R&B,Chris Brown,Privacy,68,0.741,0.58,97.092,0.428,Muito Popular
R&B,Alina Baraz,Lavender and Velvet,62,0.684,0.512,127.908,0.354,Popular
R&B,Dreezy,Body,62,0.735,0.567,149.968,0.574,Popular
R&B,T-Pain,Here It Comes (feat. Russ),57,0.716,0.597,140.03,0.306,Popular
R&B,PJ Morton,Say So (feat. JoJo),63,0.502,0.409,75.231,0.234,Popular
R&B,Tom Misch,Movie,67,0.785,0.379,122.043,0.182,Muito Popular
R&B,Usher,OMG (feat. will.i.am),70,0.781,0.745,129.998,0.326,Muito Popular
R&B,Jeremih,All The Time,70,0.679,0.44,109.959,0.0336,Muito Popular
R&B,Dijon,Skin,62,0.674,0.616,94.934,0.551,Popular
R&B,Yuna,Crush,65,0.678,0.414,130.031,0.355,Muito Popular
R&B,Keri Hilson,Pretty Girl Rock,64,0.666,0.87,160.014,0.9,Popular
R&B,Steve Lacy,Some,63,0.784,0.554,104.01,0.634,Popular
R&B,The Japanese House,Saw You In A Dream,62,0.605,0.446,94.044,0.685,Popular
R&B,T-Pain,A Million Times (feat. O.T. Genasis),59,0.738,0.519,96.061,0.61,Popular
R&B,Tory Lanez,KeeP IN tOUcH (feat. Bryson Tiller),68,0.539,0.886,109.016,0.562,Muito Popular
R&B,The Weeknd,Attention,67,0.671,0.428,148.041,0.36,Muito Popular
R&B,H.E.R.,2,61,0.794,0.448,149.975,0.429,Popular
R&B,T-Pain,RIP to the Parking Lot (feat. Boosie Badazz),57,0.769,0.558,179.993,0.771,Popular
R&B,City Girls,Season (feat. Lil Baby),61,0.595,0.695,139.037,0.401,Popular
R&B,Brent Faiyaz,Lovely,60,0.385,0.473,143.614,0.0575,Popular
R&B,Jacquees,Inside feat. Trey Songz,64,0.71,0.578,125.969,0.512,Popular
R&B,JP Saxe,The Few Things (with Charlotte Lawrence),67,0.536,0.426,135.872,0.375,Muito Popular
R&B,Chingy,Right Thurr,70,0.866,0.749,92.077,0.891,Muito Popular
R&B,H.E.R.,I'm Not OK,60,0.535,0.395,102.206,0.147,Popular
R&B,Wale,Lotus Flower Bomb (feat. Miguel),65,0.512,0.598,70.189,0.345,Muito Popular
R&B,Kiana Ledé,Wicked Games,62,0.789,0.435,72.973,0.456,Popular
R&B,Iggy Azalea,Black Widow,65,0.741,0.726,163.991,0.527,Muito Popular
R&B,Kelly Clarkson,Love So Soft,67,0.808,0.581,130.012,0.758,Muito Popular
R&B,PARTYNEXTDOOR,Not Nice,69,0.598,0.496,128.06,0.725,Muito Popular
R&B,Tory Lanez,Pa Mi (with Ozuna),71,0.596,0.557,133.247,0.661,Muito Popular
R&B,The Weeknd,A Lonely Night,68,0.853,0.663,113.999,0.864,Muito Popular
R&B,Nina Sky,Move Ya Body,66,0.876,0.71,121.072,0.828,Muito Popular
R&B,Fifth Harmony,All In My Head (Flex) (feat. Fetty Wap),70,0.689,0.791,95.04,0.755,Muito Popular
R&B,Rihanna,SOS,69,0.677,0.671,137.046,0.527,Muito Popular
R&B,Jason Derulo,Ridin' Solo,63,0.442,0.83,89.338,0.578,Popular
R&B,DJ Khaled,All I Do Is Win,70,0.549,0.791,150.094,0.293,Muito Popular
